cell_name,annotation
164_121-0,AGM
164_122-0,AGM
164_123-0,AGM
164_124-0,AGM
164_125-0,AGM
164_126-0,AGM
164_127-0,AGM
164_128-0,AGM
164_129-0,AGM
164_130-0,AGM
164_132-0,AGM
164_133-0,Sclerotome
164_134-0,Sclerotome
164_135-0,Sclerotome
164_136-0,Sclerotome
164_137-0,Sclerotome
164_138-0,Sclerotome
164_139-0,Sclerotome
164_140-0,Sclerotome
164_141-0,Sclerotome
164_142-0,Sclerotome
164_143-0,Dermomyotome
164_144-0,Dermomyotome
164_145-0,Dermomyotome
164_146-0,Dermomyotome
164_147-0,Mesenchyme
164_148-0,Mesenchyme
164_149-0,Mesenchyme
164_150-0,Mesenchyme
164_151-0,Mesenchyme
164_83-0,Mesenchyme
164_84-0,Connective tissue
164_85-0,Connective tissue
164_86-0,Connective tissue
164_87-0,Connective tissue
164_88-0,Connective tissue
164_89-0,Connective tissue
164_90-0,Connective tissue
164_91-0,Connective tissue
164_92-0,Connective tissue
164_93-0,Connective tissue
164_94-0,Connective tissue
164_95-0,Connective tissue
164_96-0,Connective tissue
164_97-0,Connective tissue
164_98-0,Connective tissue
164_99-0,Connective tissue
165_100-0,Connective tissue
165_101-0,Connective tissue
165_102-0,Connective tissue
165_103-0,Connective tissue
165_104-0,Connective tissue
165_105-0,Connective tissue
165_106-0,Connective tissue
165_107-0,Connective tissue
165_108-0,AGM
165_109-0,AGM
165_110-0,AGM
165_112-0,AGM
165_113-0,AGM
165_114-0,AGM
165_115-0,Connective tissue
165_116-0,Connective tissue
165_117-0,Connective tissue
165_118-0,AGM
165_119-0,AGM
165_120-0,AGM
165_121-0,AGM
165_122-0,AGM
165_123-0,AGM
165_124-0,AGM
165_125-0,AGM
165_126-0,AGM
165_127-0,AGM
165_128-0,AGM
165_129-0,AGM
165_130-0,AGM
165_131-0,AGM
165_132-0,AGM
165_133-0,AGM
165_134-0,Sclerotome
165_135-0,Sclerotome
165_136-0,Sclerotome
165_137-0,Sclerotome
165_138-0,Sclerotome
165_139-0,Sclerotome
165_140-0,Sclerotome
165_141-0,Sclerotome
165_142-0,Sclerotome
165_143-0,Dermomyotome
165_144-0,Dermomyotome
165_145-0,Dermomyotome
165_146-0,Dermomyotome
165_147-0,Dermomyotome
165_148-0,Mesenchyme
165_149-0,Mesenchyme
165_150-0,Mesenchyme
165_151-0,Mesenchyme
165_152-0,Mesenchyme
165_82-0,Mesenchyme
165_83-0,Mesenchyme
165_84-0,Connective tissue
165_85-0,Connective tissue
165_86-0,Connective tissue
165_87-0,Connective tissue
165_88-0,Connective tissue
165_89-0,Connective tissue
165_90-0,Connective tissue
165_91-0,Connective tissue
165_92-0,Connective tissue
165_93-0,Connective tissue
165_94-0,Connective tissue
165_95-0,Connective tissue
165_96-0,Connective tissue
165_97-0,Connective tissue
165_98-0,Connective tissue
165_99-0,Connective tissue
166_100-0,Connective tissue
166_101-0,Connective tissue
166_102-0,Connective tissue
166_103-0,Connective tissue
166_104-0,Connective tissue
166_105-0,Connective tissue
166_106-0,Connective tissue
166_107-0,Connective tissue
166_108-0,Connective tissue
166_109-0,AGM
166_116-0,Connective tissue
166_117-0,Connective tissue
166_118-0,Connective tissue
166_119-0,AGM
166_120-0,AGM
166_121-0,AGM
166_122-0,AGM
166_123-0,AGM
166_124-0,AGM
166_125-0,AGM
166_126-0,AGM
166_127-0,AGM
166_128-0,AGM
166_129-0,AGM
166_130-0,AGM
166_131-0,AGM
166_132-0,AGM
166_133-0,AGM
166_134-0,AGM
166_135-0,Sclerotome
166_136-0,Sclerotome
166_137-0,Sclerotome
166_138-0,Sclerotome
166_139-0,Sclerotome
166_140-0,Sclerotome
166_141-0,Sclerotome
166_142-0,Sclerotome
166_143-0,Sclerotome
166_144-0,Dermomyotome
166_145-0,Dermomyotome
166_146-0,Dermomyotome
166_147-0,Dermomyotome
166_148-0,Mesenchyme
166_149-0,Mesenchyme
166_150-0,Mesenchyme
166_151-0,Mesenchyme
166_152-0,Mesenchyme
166_153-0,Mesenchyme
166_81-0,Mesenchyme
166_82-0,Mesenchyme
166_83-0,Mesenchyme
166_84-0,Connective tissue
166_85-0,Connective tissue
166_86-0,Connective tissue
166_87-0,Connective tissue
166_88-0,Connective tissue
166_89-0,Connective tissue
166_90-0,Connective tissue
166_91-0,Connective tissue
166_92-0,Connective tissue
166_93-0,Connective tissue
166_94-0,Connective tissue
166_95-0,Connective tissue
166_96-0,Connective tissue
166_97-0,Connective tissue
166_98-0,Connective tissue
166_99-0,Connective tissue
167_100-0,Connective tissue
167_101-0,Connective tissue
167_104-0,Connective tissue
167_105-0,Connective tissue
