cell_name,annotation
206_144-0,Brain
206_145-0,Brain
206_146-0,Brain
206_147-0,Brain
206_148-0,Brain
206_149-0,Brain
206_150-0,Brain
206_151-0,Brain
206_152-0,Brain
206_153-0,Brain
206_80-0,Neural crest
206_81-0,Neural crest
206_82-0,Neural crest
206_83-0,Neural crest
206_84-0,Neural crest
206_85-0,Neural crest
206_86-0,Neural crest
206_87-0,Neural crest
206_88-0,Neural crest
206_89-0,Neural crest
206_90-0,Neural crest
206_91-0,Neural crest
206_92-0,Neural crest
206_93-0,Neural crest
206_94-0,Neural crest
206_95-0,Neural crest
206_96-0,Neural crest
206_97-0,Neural crest
206_98-0,Neural crest
206_99-0,Neural crest
207_100-0,Neural crest
207_101-0,Neural crest
207_102-0,Neural crest
207_103-0,Neural crest
207_104-0,Neural crest
207_105-0,Neural crest
207_106-0,Neural crest
207_112-0,Neural crest
207_113-0,Neural crest
207_114-0,Neural crest
207_115-0,Neural crest
207_116-0,Neural crest
207_117-0,Neural crest
207_118-0,Neural crest
207_123-0,Neural crest
207_129-0,Brain
207_131-0,Brain
207_132-0,Brain
207_133-0,Brain
207_134-0,Brain
207_135-0,Brain
207_136-0,Brain
207_137-0,Brain
207_138-0,Brain
207_139-0,Brain
207_140-0,Brain
207_141-0,Brain
207_142-0,Brain
207_143-0,Brain
207_144-0,Brain
207_145-0,Brain
207_146-0,Brain
207_147-0,Brain
207_148-0,Brain
207_149-0,Brain
207_150-0,Brain
207_151-0,Brain
207_152-0,Brain
207_153-0,Brain
207_79-0,Neural crest
207_80-0,Neural crest
207_81-0,Neural crest
207_82-0,Neural crest
207_83-0,Neural crest
207_84-0,Neural crest
207_85-0,Neural crest
207_86-0,Neural crest
207_87-0,Neural crest
207_88-0,Neural crest
207_89-0,Neural crest
207_90-0,Neural crest
207_91-0,Neural crest
207_92-0,Neural crest
207_93-0,Neural crest
207_94-0,Neural crest
207_95-0,Neural crest
207_96-0,Neural crest
207_97-0,Neural crest
207_98-0,Neural crest
207_99-0,Neural crest
208_100-0,Neural crest
208_101-0,Brain
208_102-0,Brain
208_103-0,Neural crest
208_104-0,Neural crest
208_105-0,Neural crest
208_107-0,Neural crest
208_108-0,Neural crest
208_111-0,Neural crest
208_112-0,Neural crest
208_113-0,Neural crest
208_114-0,Neural crest
208_115-0,Neural crest
208_116-0,Neural crest
208_117-0,Neural crest
208_118-0,Neural crest
208_119-0,Neural crest
208_129-0,Brain
208_130-0,Brain
208_131-0,Brain
208_132-0,Brain
208_133-0,Brain
208_134-0,Brain
208_135-0,Brain
208_136-0,Brain
208_137-0,Brain
208_138-0,Brain
208_139-0,Brain
208_140-0,Brain
208_141-0,Brain
208_142-0,Brain
208_143-0,Brain
208_144-0,Brain
208_145-0,Brain
208_146-0,Brain
208_147-0,Brain
208_148-0,Brain
208_149-0,Brain
208_150-0,Brain
208_151-0,Brain
208_152-0,Brain
208_153-0,Brain
208_79-0,Brain
208_80-0,Brain
208_81-0,Neural crest
208_82-0,Neural crest
208_83-0,Neural crest
208_84-0,Neural crest
208_85-0,Neural crest
208_86-0,Neural crest
208_87-0,Neural crest
208_88-0,Neural crest
208_89-0,Brain
208_90-0,Brain
208_91-0,Brain
208_92-0,Brain
208_93-0,Brain
208_94-0,Neural crest
